Year;Month;Day;Hour;Minute;Temperature;Total Precipitation;Wind Speed;Wind Direction
2019;01;01;00;00;5.05;0.00;4.68;292.62
2019;01;01;01;00;4.90;0.00;4.69;302.47
2019;01;01;02;00;4.81;0.00;4.83;296.57
2019;01;01;03;00;4.73;0.00;5.35;289.65
2019;01;01;04;00;4.60;0.00;5.24;285.95
2019;01;01;05;00;4.58;0.00;5.51;281.31
2019;01;01;06;00;4.56;0.00;5.05;274.09
2019;01;01;07;00;4.49;0.00;6.03;287.35
2019;01;01;08;00;4.33;0.00;6.95;291.25
2019;01;01;09;00;4.24;0.10;9.37;267.80
2019;01;01;10;00;4.71;0.10;10.25;251.57
2019;01;01;11;00;5.48;0.00;10.45;268.03
2019;01;01;12;00;6.14;0.00;14.04;270.00
2019;01;01;13;00;6.52;0.00;16.58;272.49
2019;01;01;14;00;7.10;0.00;19.52;275.29
2019;01;01;15;00;6.01;0.00;22.71;272.73
2019;01;01;16;00;5.46;0.10;22.32;269.08
2019;01;01;17;00;4.72;0.10;22.01;266.25
2019;01;01;18;00;3.96;0.00;21.29;266.12
2019;01;01;19;00;4.08;0.00;20.67;263.00
2019;01;01;20;00;3.98;0.10;21.39;263.23
2019;01;01;21;00;3.98;0.10;21.27;267.09
2019;01;01;22;00;3.87;0.30;20.67;263.00
2019;01;01;23;00;3.84;0.30;21.24;270.00
2019;01;02;00;00;3.75;0.10;20.89;271.97
2019;01;02;01;00;3.59;0.00;18.58;278.91
2019;01;02;02;00;3.47;0.00;14.51;293.39
2019;01;02;03;00;3.19;0.00;13.18;304.99
2019;01;02;04;00;1.67;0.00;12.31;322.13
2019;01;02;05;00;1.00;0.00;8.40;316.74
2019;01;02;06;00;0.53;0.00;8.44;309.81
2019;01;02;07;00;0.28;0.00;10.20;312.14
2019;01;02;08;00;0.28;0.00;12.10;306.53
2019;01;02;09;00;1.06;0.00;12.77;310.43
2019;01;02;10;00;1.62;0.00;16.99;323.62
2019;01;02;11;00;2.38;0.00;18.36;334.44
2019;01;02;12;00;3.04;0.00;18.36;348.69
2019;01;02;13;00;4.18;0.00;23.93;338.84
2019;01;02;14;00;4.55;0.00;23.51;334.61
2019;01;02;15;00;4.32;0.00;23.21;336.22
2019;01;02;16;00;4.17;0.00;20.99;337.83
2019;01;02;17;00;3.69;0.00;14.39;328.30
2019;01;02;18;00;2.21;0.00;11.75;297.35
2019;01;02;19;00;1.63;0.00;10.93;287.24
2019;01;02;20;00;0.93;0.00;9.69;285.07
2019;01;02;21;00;0.69;0.00;7.73;297.76
2019;01;02;22;00;0.22;0.00;5.62;309.81
2019;01;02;23;00;0.08;0.00;4.21;340.02
2019;01;03;00;00;-0.28;0.00;2.10;329.04
2019;01;03;01;00;-0.62;0.00;1.14;251.57
2019;01;03;02;00;-0.67;0.00;2.52;180.00
2019;01;03;03;00;-0.80;0.00;3.10;125.54
2019;01;03;04;00;-1.10;0.00;4.80;102.99
2019;01;03;05;00;-1.24;0.00;5.94;104.04
2019;01;03;06;00;-1.36;0.00;6.64;102.53
2019;01;03;07;00;-1.50;0.00;6.15;110.56
2019;01;03;08;00;-1.65;0.00;5.51;101.31
2019;01;03;09;00;-1.56;0.00;4.32;90.00
2019;01;03;10;00;-0.68;0.00;2.90;82.87
2019;01;03;11;00;0.14;0.00;2.28;18.43
2019;01;03;12;00;0.63;0.00;5.45;352.41
2019;01;03;13;00;1.57;0.00;4.68;337.38
2019;01;03;14;00;2.31;0.00;5.40;323.13
2019;01;03;15;00;2.72;0.00;5.12;320.71
2019;01;03;16;00;2.22;0.00;6.41;321.84
2019;01;03;17;00;1.54;0.00;8.21;322.13
2019;01;03;18;00;0.63;0.00;6.79;327.99
2019;01;03;19;00;0.10;0.00;4.84;318.01
2019;01;03;20;00;0.40;0.00;4.90;323.97
2019;01;03;21;00;0.15;0.00;4.69;302.47
2019;01;03;22;00;0.08;0.00;5.45;277.59
2019;01;03;23;00;0.21;0.00;4.02;296.57
2019;01;04;00;00;0.23;0.00;3.32;347.47
2019;01;04;01;00;-0.22;0.00;4.02;10.30
2019;01;04;02;00;-0.02;0.00;1.30;33.69
2019;01;04;03;00;0.36;0.00;3.24;180.00
2019;01;04;04;00;-0.39;0.00;3.40;212.01
2019;01;04;05;00;-1.01;0.00;3.62;264.29
2019;01;04;06;00;-1.18;0.00;4.69;274.40
2019;01;04;07;00;-1.49;0.00;5.04;270.00
2019;01;04;08;00;-1.50;0.00;5.05;274.09
